age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9
23,single,m,straight,average,mostly anything,not at all,never,graduated from college/university,black,66.0,60000,student,2012-06-27-17-21,"san francisco, california",doesn't want kids,likes dogs and dislikes cats,agnosticism but not too serious about it,taurus but it doesn&rsquo;t matter,no,"english (fluently), japanese (okay)","really shy at first, but once i am comfortable i can really be talkative. i'm interested in most things nerdy... but also interested in many different things. don't be afraid to ask to find out more, you may be surprised.","just graduated from a 4-year university. currently i have started working for myself doing remote technical support and freelance programming / scripting for various video game engines as well as normal everyday applications such as ios, android and desktop.",anything dealing with computers and or other technologies / video games / dancing,i'm short and have small ears >.>,"music: skrillex, daft punk, danger, deadmau5, surkin, she, marble players, michael jackson, 2pac, autolaser, bobmo, out there, madeon, justice, dj mehdi (rip), mstrkrft, ratatat, etienne de crcy, nero, daddy dj, dax riders, digitalism, fred falke, lifelike, duck sauce, bob sinclar, dimitri from paris, modjo, laurent garnier, alex gopher, alan braxe, le knight club, thomas bangalter, guy - manuel, david guetta, girl talk, cryd'amore, sebastian ledger, dj falcon, cassius, stardust, felix da housecat, so me, mr. oizo, css, jupiter rising, a-trak, zzt, aphex twin, 3lectrica, ayumi hamasaki, yasuharu takanashi, fantastic plastic machine, clazziquai, teenage bad girl, darude, dj, shadow, dj tiesto, freestylers, gorillaz, groove armada, i-dep, kick the can krew, lily allen ;d, the ting tings, mc chris, paul oakenfold, rip slyme, dj shadow, rob dougan - love just about any kind of music except country (i can deal with most of it) and polka(unless its leak spin). you can check out my music tastes here: http://www.last.fm/user/d3k17  movies: akira, princess mononoke, tetsuo, castle in the sky, my neighbor totoro, revenge of the nerds, inglorious basterds, coraline, nightmare before christmas, avatar, shrek, inception, the hurt locker the hangover, watchmen, the dark knight, fight club, thx 1138, star wars, indiana jones, blade runner, the goonies, tron legacy, i am number four, 28 days later, x-men 1,2,3, spider man 2, ferris buellers day off, hostile, elektra, hotel rowanda, se7en, the shining, the birds, psycho, friday the 13th, sixth sense, the matrix... off the top of my head. seen way to many to remember them all.  tv + cartoons: dexter, the listener, game of thrones, boardwalk empire, 24, gordan ramsay, royal pains, v, the walking dead, breaking bad, america's got talent, the office, rocko's modern life, ren & stimpy, invader zim, salute your shorts, clarissa explains it all, all that, legends of the hidden temple, rugrats, are you afraid of the dark? so weird, sonic the hedgehog, sonic underground, instant star, degrassi, the cosby show, all in the family, the jeffersons.. so much more - just ask me ;)  anime: http://myanimelist.net/profile/snow-okami  books: enders game, a wrinkle in time, the hobbit - not much of a reader anymore... unless its digital.","3 things i cannot live without: video games, anime and music",uhhh... i don't often find myself thinking to myself about much of anything to be honest.,"doing something geeky with a few friends. a lan party is usually common, anime fridays, or perhaps going to a concert or music show where i can dance the night away!",hmmm... i dunno xd.. i'll answer most anything.,you love dancing / video games / anime and are passionate about any kinds of music
28,single,m,straight,,,socially,never,graduated from two-year college,"black, native american",71.0,70000,other,2012-06-28-17-03,"san francisco, california",,likes dogs,christianity,capricorn and it&rsquo;s fun to think about,no,english (fluently),"i dunno i dunno i dunno..................................................................................................................  i am funny, energetic, and trustworthy",,,,,,,,,
32,single,m,straight,fit,mostly anything,socially,never,graduated from masters program,indian,71.0,100000,banking / financial / real estate,2012-06-29-20-16,"san francisco, california",,likes dogs and likes cats,hinduism but not too serious about it,capricorn and it&rsquo;s fun to think about,sometimes,"english (fluently), hindi (fluently), french (fluently), urdu (fluently), sanskrit (okay)","intelligent, witty, successful and can laugh at himself.",work to fund my fun,i am a jack of all trades. like to learn many different things in life.,don't know really different people like different things about me.,"love neil gaiman so have the entire stock the sandman, coraline, good omens, american gods. read art of war movies, there are many. i love old classics they are fun. love any that is warm and heart felt... i don't know if anyone has seen the power of one. anything that is new. well others we can talk about when we meet",1. friends 2. chocolate 3. intelligent conversation 4. respect for other people 5. pursuits of happiness in all its forms 6. sense of adventure,how to make everything better,depends i am go with the flow person. clubbing. good movie. stay home,i am shy and outgoing at the same time,if you want to know a good guy
31,single,m,straight,athletic,,socially,never,graduated from masters program,asian,70.0,150000,banking / financial / real estate,2011-12-05-06-32,"palo alto, california",,likes dogs and likes cats,,,no,"english (fluently), japanese (fluently), french (poorly)",,,,,,,,,,
27,single,m,straight,fit,strictly anything,socially,never,graduated from college/university,other,72.0,100000,banking / financial / real estate,2012-06-24-18-04,"san francisco, california",,,agnosticism but not too serious about it,cancer but it doesn&rsquo;t matter,no,english,"live in the moment is my motto! i like to keep it by interesting by never fallin in the well of boring! having lived in la and nyc and now sf makes totally a city guy (in the best way possible!). i travel so much that i really get to appreciate the place city when i am in town! i like balance in life with work,play, party, family, party. never taking things too seriously and starting each day off with something goofy.. smile first and worry latter!  spontaneous is something i like to take advantage. in my free time there are three passions (say this lightly) is food, music, sports (playing them more than watchin them), and travelin (nothing better than lil road trip or quick fly out). rather be out in the sun when its out in sf then cooped all day in the house!  i am extremely sarcastic who is never shy to spark a convo and like being social. huge scotch and whiskey guy and less of a beer (perfect right no gut ha!). i like all kinds of food but kind of addicted to sushi and enjoy cookin myself (quite the chef minus the hat).  btw not a doc.. just a nickname i had since i had as a kid and i cannot let it go! gotta dream i guess! :)","working, having fun and traveling!",ha i have to pick one...,outgoing nature and my eyes.,lets just say if i was not doing what i was doing then i would be doing something artistic.. i am huge fan of all types of music...,1. family 2. success 3. friends 4. money 5. cell phone,thinking of new ideas!,"rather be out then stay in! that can mean good dinner, to hitting up some bars and the occasional club to wine tasting or something out there.. cannot be dull!",i love to cuddle even though a lot of guys don't...,"if you are fun, cute, smart and ambitious... the last one is very important...."
29,single,m,straight,athletic,,socially,never,graduated from college/university,asian,73.0,20000,student,2012-06-30-08-05,"daly city, california",,,,cancer,trying to quit,"english (fluently), chinese (fluently)","this is my first attempt to find my so call significant other through the internet. it kind of frightens me a bit use the internet. here i go....  i am currently single and going back to school to get my mba. my passion in life is discovering new and unique cuisines. food is my life, but it is not as important has having someone to share that same interest with  i consider myself a mellow individual. it takes a lot to upset or infuriate me. i do have limitations before i crack. my sense of humor is very offensive and lacks compassion. that is my most of my friends and i never keep touch because i poke fun at their wives or girlfriend. my friends' friends feel it is a personal attack but it is just harmless fun. if you are asian and fit the stereotype, you will be in trouble. but my reflexes and comebacks, while arguing, are really slow. if we are ever in an argument, chances are you will win. =)  recently i got back to playing mmorpg. if you do not know what that is, it is wow aka world of warcraft. starcraft 2 is about to come out soon and i foresee a lot butt kicking. i love rpgs like final fantasy and first person shooters like halo. i am a nerd at heart.  i grew up with friends who are comic fanatics. imagine the asian version of the big bang theory but cooler and better looking. haha!! i am currently waiting for the avengers movie to come out soon. did you see ironman 2?  i am a fitness nut case. i workout about 3-5 times per week at my local gym,. i don't usually do cardio in the past, but my goal for this year is to burn 1000 calories every time i'm at the gym via cardio. in the past, i used to practice wing chun kung fu. my dad told me that i am descendants of leung jan or leung yee tai from foshan. i don't know if that is true or the reason my parents wanted me to learn wing chun. i'm currently taking muay thai kickboxing and it is brutal.  my life is a never ending story, which will probably end once i meet my maker. in the mean time i will fill that void with stories makes their lives much better. a meaningful life is great when there is a purpose. that purpose is what i'm looking for.  i'm currently going through an extreme phase o my life. skydiving, rappelling, and water rafting on my list of to-do i want to accomplish this lifetime.  here is what i'm looking for; -open to explore new eateries -have a very sarcastic sense of humor -don't take things literally. -don't ask me questions you will regret asking me later. for example, don't ask me if the dress makes you look fat. i will tell you the truth and i will not lie. a healthy relationship is based on the truth, right? haha!! -if you understand chinese jokes, it is a plus, but not required. -movie buff - and more to come....  what can i offer you? -i will be a good listener. -you can call me anytime if you have difficulties coming up a solution. -security -honesty -other i can't think of right now. the most important thing is to tell me what is wrong before i assume anything..  to be continued? ",a ms finance student at golden gate university!,??????,i'm pretty big for a chinese dude with a sarcastic sense of humor.,,,the road to hell is paved by good intentions!,,,you want and we will go from there.
34,single,f,straight,,,socially,never,graduated from college/university,asian,60.0,40000,clerical / administrative,2012-03-15-07-24,"san francisco, california",,likes dogs and likes cats,buddhism but not too serious about it,libra but it doesn&rsquo;t matter,no,"english (fluently), chinese (okay)","heard about this site from best friend. thought to myself, why not? let's give it a try. if i don't get a date, maybe i'll find some nice people to be friends.  i live in richmond area of san francisco, ca. i been there since may of 2004. i ride a red vespa named ""red sonya"". i'm pretty easy to get along with.  i am short, loud, and interesting","happy with my job and where i live. keep busy w/pilate class, outing with friends, making dinner.","cooking, knitting, figuring out problems.","my smile, my good sense of humor, then it's how loud i can be.","movies: i love jonny depp movies (doesn't everyone?). books: piers anthony. music: rem, placebo, him,& still looking. food: i can always eat.","water, air, friends,watch, food, knitting. note: not in this order",what's my next meal or how to do things in a easier way to safe time/money.,resting up for a full weekend.,i escape from pre-school on my first day.,"looking for someone fun to hang with, trying new restaurants in the city."
23,single,m,straight,athletic,,socially,never,graduated from high school,black,71.0,50000,executive / management,2012-05-25-11-40,"richmond, california","doesn't have kids, but might want them",likes dogs,christianity and very serious about it,virgo,sometimes,english,,,,,,,,,,
34,single,f,straight,fit,mostly vegetarian,socially,never,graduated from college/university,asian,63.0,70000,banking / financial / real estate,2012-06-29-21-17,"san francisco, california",,likes dogs,buddhism but not too serious about it,,no,english (fluently),"in a nutshell, i am a friendly, and easy-going kind of gal. i enjoy the outdoors, and maintain a very active and healthy lifestyle, i.e., working out, hiking, biking, taking leisure strolls, etc. i also also like dressing up for date nights, but i am very comfortable with just jeans, t-shirt, and flip flops. i value friendships and family and enjoy spending time with them. i'd like to settle down, and eventually have a family, with kids. so, i am looking for a partner who is looking for a serious and long-term relationship, and who has similar qualities and interests.  if you are looking for something casual, too busy to make plans to see and get to know me, please do not waste my time and your time. i am not the right one for you.  looking forward to a fun-filled adventure of finding the one! :)","i am working full-time, but am planning for a vacation in asia, i.e., thailand, cambodia, laos, and vietnam. i have never taken a cruise, so my other option is taking a 10-day cruise to alaska.","helping others, and being there for family and friends.",how friendly i am as well as my smile. i also like to laugh and it's infectious. :),"my all time favorite movie is sweet home alabama. some of my favorite tv shows are: the colbert report, daily show with jon stewart, anthony bourdain-no reservations, after the bell, power lunch on cnbc. the power of now is one of my favorite books.",not in any specific orders: computer; phone; friends and family (1); gym membership; camping trips;,where life will take me 5 years from now.,"i like going to movies, happy hour, catching up with friends over dinner. i also enjoy staying in, making dinner and watch comedy central, or good comedy movie.",,you think we have similar interests.
38,single,m,straight,a little extra,,socially,never,graduated from high school,pacific islander,74.0,70000,construction / craftsmanship,2011-11-26-03-47,"fremont, california",has kids,,,libra,no,english,,,,my sneakers,,,,,,
21,single,f,straight,average,mostly anything,rarely,never,graduated from space camp,asian,64.0,20000,student,2012-04-21-12-36,"daly city, california",doesn't want kids,likes dogs and likes cats,christianity,cancer but it doesn&rsquo;t matter,no,"english (fluently), chinese (fluently)","""sexy and you know it""  introvert, but occasionally extrovert usually quiet and thoughtful nervous/shy but likes to laugh beautiful and nerdy can be very blunt, but honest thinks everything is cute ...especially my baby lion and hello kitty calm, cool, and collected believes in the power of words believes in positive thinking had a crush on a guy named josh he is the reason why i created this in the first place is a noob at the dating game hopeless romantic waits for the guy to make moves like a dummy, some would say... is complicated competitive and ambitious in academics most always thinking practical thinks in the long-run, usually believes in hope and most importantly, faith. would rather watch a movie than go to a club. loves reading inspirational/funny quotes online such as words of wisdom attracted to brains and heart more than physical appearance warning: i have no friends so it is mandatory that you be my friend even if you are not interested in me.  thanks for your interest! however, i'm taken! i'm seeing my crush josh who is now my new boyfriend. message me if you want to be friends!",earning a college degree at the university of davis.,translating from english to cantonese or cantonese to english in conversations with people. being a good student.,"hmmm... my mustache. lol i don't know, you tell me!","my favorite books off the top of my head are the goal, can you keep a secret?, and moral politics.  my favorite movies are inception, 27 dresses, pirates of the carribean, x-men first class, monte carlo, hong kong tvb movies/dramas, and general chic-flicks.  shows: community, colbert report, desperate housewives.  my favorite foods! home-cooked eastern china dishes, steamed rice, dim sum, mango mochi ice cream, bobba, sushi, soy sauce chicken wings, fried rice (or steamed white rice), avocados sprinkled with salt, pasta, and meats or noodles with any types of seasoning but has to have lemon juice in it. being a foodie, the list goes on and on.","people who love me, my baby lion, music, a sense of purpose, healthy but yummy-tasting foods, and the internet.","school stuff, guys, my future, and random things.",having fun (:,,
31,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,black,72.0,60000,sales / marketing / biz dev,2012-06-29-01-22,"san leandro, california",,likes dogs and likes cats,christianity and very serious about it,capricorn but it doesn&rsquo;t matter,no,english,"my first love i saw her waiting for me to talk to her across the room so i take my time don't want to speak too soon so i watch one after another approach her incorrectly as i witness this all i start to respect the power that she holds so its her i phine to hold i've seen her at clubs, concerts, and shows so many want to use her to make themselves grow once glance, give me a chance, the dj spoke to her i wanted to dance with her in my hands but no time because the place was packed and if i spoke to her now how would everyone react? i fell in love on first sight, she made me look tight to my darkness she brought light some told her they got her but her time they were wasting because they leave after a while they only had infatuation the first time i said hello, it was on for sure staying on her and this was love she made me heard even in a club baby when your in my hands i can't set you free ms. ms. ms. your the world to me after we spoke all alone, at my home i asked her name she said ""microphone"" can you imagine how my mind was blown?",working hard so i can play hard living each day like its my last ambitious and conscious working on multiple projects that will change the music industry as we know it writing a book of poetry,telling inappropriate jokes expressing myself enjoying life looking for the lesson in every situation spoken word djing come up with raps off the top of my head in seconds smiles praising my lord and savior jesus christ,"im really low key, but if im enjoy a persons conversation i will tell you almost anything, i keep it 100","the bible funny movies, scary movies and dramas hip hop, r&b, neo soul, jazz, and reggae food i don't discriminate",god humility pen paper family heath,as i reflect upon the world with the pen i'm holding my mind expands like water when its frozen its time for our people to build like workers of construction gotta be productive or we wont amount to nothing as disastrous scenes develops across the globe realize that you only have control over your soul,at church or working on music or at home unwinding and preparing for my week and weekend,"i cant stand it when people use a five year old pic on their profile, im just saying... its not a good look.",if you have swag you don't have drama or your aren't boring or afraid to have fun you have good conversation also if you like what you see so far
28,single,m,straight,athletic,mostly vegetarian,socially,never,graduated from college/university,asian,66.0,70000,other,2012-06-29-20-52,"san francisco, california",,likes dogs,,capricorn but it doesn&rsquo;t matter,no,english (fluently),"i was born in raised in the east bay and have been living in san francisco since 2002. i graduated college at san francisco state university with a degree in marketing. from 9-5 during the week, i work as a reporting analyst for a on demand crm company. i'm quite the excel nerd.  outside of work i love to exercise and run. i typically run a race or two each month which may include a marathon or an ultramarathon. i'm currently training for my first 50 miler in september in michigan and a 100 miler in november in arizona. i enjoy training and the structure it brings to my life. every monday and wednesday, i go to the trx training center to work out at 6am. after work and on the weekends, i run like a maniac. i wish i was fast enough like the kenyans to do this as a living. running is my passion. it has brought me so much joy and i've met some of the most amazing people from it.  when i'm not at my desk, running on the road or trails, or in the gym, you'll find me playing the guitar or piano, riding my bike, doing yoga, dancing my butt off aka cross-training (go bootie sf!), trying new and delicious food",- working hard as a reporting analyst for a fast growing cloud computing crm company - training for marathons and ultramarathons - traveling - having a great time with friends,- running long distances - tolerating physical pain - eating more food than the average person - singing show tunes on karaoke - busting awesome moves on the dance floor - microsoft excel spreadsheets (lame) - functioning without much sleep - making ceviche - supporting and motivating my friends who want to start running. it feels great when i help push my friends who are slower and new to running.,my legs. especially when i wear my short running shorts. no joke.,"books: ultramarathon man, freakanomics, a long hard road out of hell, born to run, run! by dean karnazes.  movies: fight club, 13th warrior, the first knight, the hangover, good will hunting, the school of rock, catch me if you can, inception, the dark knight, the last samurai, saving private ryan, gladiator, american gangster, a whole lot of other denzel washington films.  shows: jersey shore, glee, the simpsons, southpark, man vs food, diner driving and dives.  music: i've been getting into country music lately. i like carrie underwood, lady antebellum, and rascal flatts. sugarland also has a few good tunes. i usually tune into 97.3, 101.3, 105.3 or 96.5 on the radio or the glee station on pandora.  food: sushi!! i love to eat all kinds of foods but i am a pescatarian. no meat except for seafood.",- running gear - gummy bears - donuts - friends - nature - guitar,"the future. who i'll end up with and when, which state or country i want to travel to run in, what to eat 2 hours from now, whether or not i should go by gummy bears or donuts, what dance move i should perfect, and how not to break my feet again.","happy hour, dinner, or movies with friends. often times i like to keep it low key and hang out in my apartment. i exhaust myself during the week from exercise, running, and a lack of sleep so i try to recover friday night just so i can go all out on saturday.","i really like watching glee. i used to be in showchoir in middle and high school so it brings back a lot of good memories. plus, lea michele is hot! in may 2011, i saw them in concert in vegas. haha.  i think spandex is comfortable...only when running :p","if you like glee, running, gummy bears and donuts. if you don't, you can still message me!"
22,single,m,bisexual,skinny,mostly anything,socially,never,graduated from two-year college,asian,67.0,20000,student,2012-06-25-17-40,"san francisco, california","doesn't have kids, and doesn't want any",dislikes dogs and likes cats,agnosticism but not too serious about it,gemini and it&rsquo;s fun to think about,no,"english (fluently), chinese (poorly), c++ (okay)","sex and gender are often used interchangably. i know that it is difficult to provide such an option, but i hope i do not mislead anyone: while i was born male, i am transgender, and so i identify as a woman. (and dress like one.) at this point in my life, due to lack of funds, i am pre-op, so i still have male genitalia. but i have already started on hormones, and eventually i will have saved up enough money to get surgery. if you aren't okay with the idea of someone's whole body changing over time, stop reading this profile now.  as anyone else who doesn't fit the norm can probably relate to, growing up was difficult, especially the formative middle school - high school years. i didn't have many friends and i have never had a real relationship. as a result, i am very shy and reserved, to the point that i passively deter other people in public. i'm invisible, so to speak.  the internet gives me a voice, though. it gives me the power to express who i am without the threat of immediate social or physical rejection. people can get to know me much more comfortably; reading and writing words on a screen is easy. this is my first dating site, but i have high hopes - and i hope to meet someone who can fulfill them.","i have an obscure and fairly useless associate of arts degree from college of san mateo. in the hopes of being able to get a degree that employers will actually look at without laughing, i am attending a four-year university as a full-time student. i still have some time to go, since i am also holding on to two part-time jobs.  my major is business administration, with a concentration in marketing. however, my main interest in life has always been video games, and that is where i hope to ultimately land a dream job. even if i had to begin in some other department (like marketing), just being a part of the industry would be great.  after college... i dunno what will happen. a lot of us college kids don't know anymore what's going to happen. the world is pretty uncertain right now. i have an offer for full-time employment, but it's a dead-end job that i don't want...so do i take it for the money, or keep firm on my dreams of a video game job? i just don't know.","cooking. i have been making meals for my family for many years now... maybe eight years or even more, i don't really remember. it's one of those things that you get trained in as a kid, and then one day, it's your responsibility...you know? while a lot of my dishes are asian, i can also do some typical american stuff. i know that not everyone loves oriental flavors.  i am pretty good at academics, especially english. math and science are not my favorite subjects, but i do not lack skill in those departments either. somewhat ironically, english is the subject i dislike above all others. it is terrible to be good at something and not like to do it...  video games are another big passion of mine. i have been playing ever since i was a little kid, maybe 5 or 6 years old. i still remember my dad's old, brick-sized gameboy which i would play with sometimes. nowadays, due to a lack of funds, i generally stick to the retro gaming circuit...although if one were to get into japanese games, such as visual novels and such, i do try to keep up with those. overall, though, being ""good"" at video games is a subjective thing. i have never won tournaments or been a world champion or anything. but when you play as much as i have, and as often as i do, it's hard not to attain some level of skill.  == giant list of games that i play/have played == in no particular order. i'm only listing things that i've played to a reasonable degree (e.g. ""beat the game""), and without cheating. like, i've played the legend of zelda: link to the past / ocarina of time / majora's mask, but i cheated my way through them...  if you play/have played any of these games, i would love to hear from you!  strong indicates one of my all-time favorites. * indicates something i'm currently (re)playing. always looking for partners to play with/against...!  === pc === *the elder scrolls v: skyrim *battle moon wars *icesus *melty blood actress again current code melty blood act cadenza version b recettear: an item shop's tale chantelise: a tale of two sisters sengoku rance tsukihime kagetsu tohya fate stay night clannad g-senjou no maou (the devil on g-string) ever 17 world of warcraft (wrath/cata) guild wars prophecies / factions / nightfall / eye of the north s4 league dungeons and dragons online (ddo) tears to tiara utawarerumono eien no aselia saya no uta chaos;head soul link divi dead shuffle! 1602 ad portal harry potter and the sorcerer's stone (pc)  === wii === *super smash bros. brawl *the legend of zelda: skyward sword the legend of zelda: twilight princess metroid prime iii: corruption fire emblem x: radiant dawn super mario galaxy  === gamecube === super smash bros. melee the legend of zelda: wind waker tales of symphonia metroid prime / metroid prime ii: echoes paper mario 2: legend of the thousand-year door fire emblem ix: path of radiance skies of arcadia: legends (gamecube remake of sega dreamcast game) the lord of the rings: the third age the lord of the rings: the return of the king final fantasy crystal chronicles  === gameboy (vanilla / color / advance) === the legend of zelda: link's awakening dx / oracle of seasons / oracle of ages / minish cap final fantasy adventure / legend ii / i & ii (dawn of souls) / tactics advance / iv / v / vi (gba remakes) pokemon blue / gold / crystal / sapphire / trading card game / pinball yu-gi-oh! dark duel stories cima: the enemy wario land i / ii / iii / iv breath of fire i / ii (advance remakes of original snes games) fire emblem vii: blazing sword / viii: sacred stones golden sun / golden sun 2: the lost age kirby (vanilla) / kirby: nightmare in dreamland (advance remake) mario tennis (color) mario golf (color) shining force: resurrection of the dark dragon (gba remake of old sega game) sword of mana (actually a gba remake of final fantasy adventure...just crappier) shining soul ii the lord of the rings: the two towers (advance) harry potter and the sorcerer's stone (gameboy color) super mario land (vanilla) super mario world (color remake of original nes game)  === nes / snes / n64 === super smash bros. vanilla tales of phantasia final fantasy iv / v / vi / mystic quest chrono trigger earthbound super mario rpg: legend of the seven stars fire emblem iv: geneaology of the holy war kirby: nightmare in dreamland (nes) pac-man 2: the new adventures (obscure snes game, not an arcade game) super mario world iii  welp...i know i'm still forgetting some, but that's like 90% of them. i'll update this as i play new games in the future.","people always notice my appearance first, especially when i am outside of san francisco. even when i go out fully dressed and try to ""pass"" as a woman, my outfits are a little outrageous. i'm overly fond of pink things, for example, even if they clash with the rest of my outfit. high heels and boots of all kinds are another passion of mine, no matter how impractical. i have run across busy intersections in heels before - in front of oncoming traffic. and i really do mean high - 3 inches, 4 inches, even 5 inches or more. i don't own anything lower. i also have a fondness for leather, regardless of the weather. it's raining? i don't care, umbrellas will fix it. 80 degrees outside? i don't care, i'd rather sweat than look boring.  to top it off, i have hair that is almost down to my waist. even in san francisco, you just don't see that too often, especially on males. all of this combines to make for a pretty distinctive profile. i'm someone that sticks out of the crowd. people always stare at me and give me a wide berth...whether they are merely curious or downright disapproving, i don't know, but in any case i guess i intimidate them.","books: i have two entire bookcases stuffed full of amazing books, how am i supposed to pick any particular ones? most recently, i have read garth nix's the abhorsen chronicles, and i am currently reading lamb: the gospel according to biff, christ's childhood friend (or some such title, it's long).  movies: i'm not much of a moviegoer, so my stuff is all old. my top 3 favorite movies of all time would probably be wag the dog, unlimited blade works, and spaceballs.  shows: i don't watch television. not even on hulu or whatever. tv is just a boring activity for me. the closest i will ever get to watching it is anime...but even then i'm not a regular viewer. i just obtain the entire season(s), put the episodes on my computer, and watch at my leisure. some of my favorite animes are code geass, fate stay night, and ygotas (yu-gi-oh! the abridged series)  music: i'm immature. i know it, and i'm not afraid to admit it. my favorite music of all time, video game rap (nerdcore), is produced by duane and brando. look them up at your own peril. other than that, i am also a fan of jethro tull, m.o.v.e., and flumpool. i don't really follow artists or bands, though... i just listen to random stuff, and if i like it, it goes on the playlist. so i have a lot of random things i like, but they don't fall under an easy label like ""this band"" or ""that genre"". i guess you could say i like the music from a lot of video games, but even then, there's a lot of different games. my final fantasy album is probably the largest one, though. nobuo uematsu is so...good!  food: oh, where to start? i like all kinds of food, and at the same time i'm a picky eater. i like chinese, japanese, thai, vietnamese, korean, hawaiian, american, italian, cajun, southern, seafood, vegetarian... if i had to pick any one thing that i like above all else, though, it would come down to either shrimp or clams/mussels (not that many places serve mussels). i just can't get enough of those.",in no particular order:  1) the internet. particularly communications like instant messaging and e-mail. 2) my favorite stuffed animal. it's a sunfish (mola mola). 3) video / pc games. 4) mountain dew / coffee. 5) shoes. especially boots. and high heels. and boots with high heels. 6) skirts and panties. (bras are overrated.),"myself. being transgender gives me a lot to think about - on a daily basis, and also as a big-picture kind of thing. ""what am i going to wear today?"", for example. or ""what was god's purpose for me?"" well, i guess a lot of people wonder things like that, so maybe it's not so different...  everyone wants to find out who they are and why they were born into the world. i think it's just a little more difficult for people like me, since society in general doesn't look favorably on us. even among more liberal circles, we are tolerated but not accepted, more often than not.  i also think about the world, and life in general. it comes naturally from questioning my own existance. in a lot of ways, the world is worse off now than it has been for many years. i'm not a doomsday advocate, but there is a certain appeal to the notion that humanity is on the decline. all the crazy things that keep showing up in the news...people who are only out for themselves. no one is acting in the best interest of the public, or the world. who is thinking ahead to the future?  there was a great curtis comic strip i read in the sunday comics once. the gist of it was that we should cry when babies are born into this unfortunate world, and celebrate when people die and go to heaven. while some would say it is macabre, i think it is kind of true, given the current world. it made me think, at any rate, which is more than i can say for most comics.","...probably sitting alone in front of my laptop/monitor, playing a video game. possibly also drinking. because, you know, depressants make for a fun time.  i don't know about you, but i find that pretty sad. i'm working on changing it, though. you can help!","i have a shopping problem. it goes by various names, but the most common is probably ""retail therapy"". when i'm feeling down, i go out and buy something to make myself feel better, at least temporarily. usually it's shoes.","you play / have played any game that i listed above. especially one that i am currently playing (* notation). i'm serious.  if anything else at all about me seems interesting...feel free to message me! i make it a policy to reply to every message.  to elaborate on what i'm looking for:  i don't care if you are a guy or a girl (although i heavily prefer girls...always have), or what your sexual orientation is. as long as you're not too young and not too old, and are relatively close to san francisco, i'm open to anything. in an ideal situation, i would love to be able to find a long-term partner to be with... but seeing as i still have very few friends and am a virgin, i would be totally okay with just having sex or being friends/going out to do stuff together. meeting anyone at all is better than being lonely night after night.  if you just want to be a ""long-distance penpal"", then of course it doesn't matter how far away you live.  while i am okay with being friends with someone who is already in a relationship, please don't contact me for dating/sex if you aren't single. i don't need to create more trouble in my life with potential love triangles, jealousy attacks, etc.  finally, in regards to sex, i have to mention again that i am pre-op. i still have male genitalia. what that informations means is up to your own decision, based on your sexual orientation. all i will say is that i am open to giving and receiving...but i prefer to receive."
19,single,m,straight,athletic,,,never,graduated from college/university,asian,67.0,40000,medicine / health,2012-06-03-14-41,"oakland, california",,,,,,"english (fluently), vietnamese (okay)","i enjoy learning new things everyday and meeting different people. i like art, dancing, hanging out. pretty much anything i can enjoy. it's been a while since i danced, but i love dancing. i choreograph, bboy (breakdance), hip hop, you name it, i learn it :). my goal is simple, to be better and to get better at what i'm doing and where i am at in life. music, i enjoy anything that sounds good to my ears. i am very open-minded about everything. talk to me, ask questions. i have answers :).",,,,,,,,,
21,single,f,bisexual,skinny,,socially,never,graduated from college/university,,67.0,20000,other,2012-06-30-10-05,"emeryville, california",doesn't have kids,,,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)","""no!! you're not intimidating...you just have a lot of...""-my brother ""a lot of what?!""-me ""a lot of personality.""-my brother  i think this sums me up perfectly for people who don't know me.","i recently graduated from college with a ba in economics and mathematics, so i am currently looking for work and trying to figure out a plan for my life... it has always been ""school!! school!! school"" and even now i want to go back in a year to get my masters, but right now, just trying to...figure things out.",being an idiot (in a good way) making stupid faces cooking getting distracted over little things arguing/losing my train of thought etc.,"that i am either really out-going and practically shameless, or i am super shy and quiet.","i don't always watch tv, but when i do, i am watching animal planet or national geographic. everything else i am supposed to list...yeah, no. too complicated, lol.",my phone my graduation ring my glasses my planner/sketchbook/notebook my pocket knife and an hairband,"recently, since graduation, i am thinking a lot about what i want to do with my life, where i want to take it, and the changes that are necessary for me to make. outside of that, i daydream a lot.",depends on who is trying to do what...lol,"i am very similar to tiana from the princess and the frog, both physically and mentally (but i am not obsessed with cooking)","you don't need a reason to message me!! all i ask is no sexual favor requests, no hate mail, and to keep the messages polite and classy. :)"
34,single,m,straight,athletic,,socially,never,graduated from college/university,hispanic / latin,70.0,150000,computer / hardware / software,2012-04-19-09-32,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,,sagittarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",,,,,,,,,,
40,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,asian,70.0,50000,other,2012-06-22-17-05,"menlo park, california",has a kid,likes dogs and likes cats,agnosticism but not too serious about it,libra and it&rsquo;s fun to think about,trying to quit,"english (fluently), vietnamese",,,,,,,,,,
