status,sex,orientation,body_type,diet,drinks,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9
single,f,gay,average,strictly vegan,not at all,graduated from two-year college,hispanic / latin,64.0,-1,artistic / musical / writer,2012-06-18-21-02,"san francisco, california",doesn't want kids,has dogs and has cats,atheism and laughing about it,leo but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)","my name is kristia. born and raised in new jersey and just moved to san francisco. i am a singer/songwriter. i absolutely love traveling and will take advantage of it whenever i'm given the chance to. i try to keep myself busy majority of the time because it keeps me motivated and content. i am honest and forward with everyone that i meet. after personal experiences, there is no need to hold back. i am constantly moving forward and won't let anything get in my way. to some i might come off as a bitch, but i just know what i want. i really am nice, though.",i play in 3 bands and roll burritos to pay the bills.,"pushing the people i care the most about to their fullest potential, being there for a friend when in need, having confidence in myself, being punctual, understanding, and making myself and others around me happy. can't you tell i'm a leo?","i always smell good, have good posture, my voice, luscious mane and laugh. also, i always get asked if i'm asian.","books: i am into some fiction, auto/biographies, and comics.  movies: chick flicks and cult comedies.  tv shows: 30 rock, degrassi, icarly, scrubs, parks and recreation, freaks and geeks, mystery science theater 3000, how i met your mother, portlandia, and the sarah silverman program.  music: anything from fleetwood mac to stan getz to black flag to gorilla biscuits to kid dynamite to off with their heads to jawbreaker to elliott smith to jimmy eat world to rainer maria to new found glory to michelle branch to ke$ha. the list goes on and on. browse my last.fm: www.last.fm/user/cutthroatkris  food: i am vegan. also, i like food! food tastes good!","music, family, friends, mexican food, biking, and laptop.","music, sex, and traveling.","there are times when i don't mind staying home, watching movies, writing, and/or cooking. other times, you can find me playing and/or attending a show, hanging at a club/bar, riding my bike around the city, on random road trips, walking around the city, checking out a new restaurant, and etc. i'm pretty much down for anything. you can call me up and be all like, ""omgz, let's do this!"" 99% of the time i'll say yes.",i still get teary-eyed whenever i watch a movie where the girl gets the guy in the end and vice versa.,"you respect that i don't drink, smoke, or do drugs, enjoy talking about music, love looking up restaurants as much as i do, like attending shows, have a sense of humor, being active, watch tv series on netflix, love tea, want to know more about me, and/or looking to have a good time."
single,f,straight,curvy,mostly anything,often,graduated from college/university,asian,65.0,-1,artistic / musical / writer,2012-06-28-00-00,"san francisco, california",doesn't want kids,likes dogs and likes cats,catholicism,libra,no,"english, spanish (okay), french (poorly)","**sorry to those that have messaged me, i've been away for a while.","i'm a fashion designer and painter. i design high-end women's wear and i cut up and redesign vintage clothing. i love art, hip hop, and making things with my hands.","painting, tennis, singing, dancing, laughing at everything, sewing, writing, making people look good, shopping, rolling a blunt, taking a shot, having a good time.","headphones, always long black hair nails did heels","my favorite book in the whole world is an old sci-fi novel titled the white mountains by john christopher. another one is palahniuk's beautiful monster. virginia woolf's mrs. dalloway. my favorite movie is the wizard of oz.  i listen to a bit of everything but mostly hip-hop and house. my favorite rapper is slug. rhymesayers for life. i love house music. deep house, progressive house, electro house - all of it. indie rock, some punk, lots of classic rock, classical (when you need to clear your head), lots of funk, jazz, soul, neo-soul, ska - i'm all over the place. oh, and i love chill - cafe del mar, beach bar, lounge, lo-fi, down tempo.  i recently got into ab-soul so holler if you're down.","pen, paper, orange juice, mary jane, my massive wardrobe, and my best friend.","design & aesthetics. you can take any random thing on the street and think about how it was designed, it's symbolism, artistry, utility, how it affects our minds/lives, etc.","at home, high, and happy.",i've met some amazing men on okc.,you are tom haverford.
single,m,straight,athletic,anything,often,graduated from college/university,asian,76.0,-1,computer / hardware / software,2012-06-27-22-00,"burlingame, california","doesn't have kids, but wants them",likes dogs and dislikes cats,atheism and laughing about it,cancer but it doesn&rsquo;t matter,no,english,"i am outgoing and have strong opinions and stances on things. i am very open minded and i tend to come off as very friendly. kind of a dorky, hopeless romantic.",just graduated from cal poly slo in architecture. travelling and taking some time off before i get sucked into a serious job.,the things that i'm supposed to be good at. like knitting.,my height. then my two lazy eyes.,hunter s thompson is always a literary bender. so is thomas pynchon. i like all sorts of movies and music.,good company warm weather witty humor,what i would do in the midst of a zombie invasion.,drinking a river of booze and letting loose.,i sing in the shower.,you're looking for something casual and fun. message me i won't bite.
single,m,straight,fit,strictly vegetarian,socially,graduated from college/university,hispanic / latin,72.0,-1,sales / marketing / biz dev,2012-01-28-19-35,"hayward, california",doesn't have kids,likes dogs and likes cats,catholicism,virgo,no,"english (fluently), spanish (okay)","i could tell people everything about myself here, but then that leaves out all the fun of getting to know someone. seriously though, i will answer any questions. so go ahead and ask me anything.",graduated from college and getting money together to pay off some loans and get start graduate school.,remembering names and faces. i have a tremendous memory!,"apparently people think i'm really tall, when i'm only 6 feet. :p","movies: anything quentin tarantino  music: i love nine inch nails, but i also like all kinds of music, you can even find some tayor swift in my ipod  food: everything obviously  books: i like to read books that are a series, and also anything stephen king.","my family and friends the t.v. show ""house"" running shoes music food social interaction",socia and gender norms,urban kayaking,i may try too hard to be nice.,you want to chit the chat
single,m,straight,fit,strictly anything,very often,graduated from ph.d program,other,54.0,1000000,transportation,2011-11-28-09-53,"san francisco, california","doesn't have kids, and doesn't want any",dislikes dogs and dislikes cats,other,aquarius but it doesn&rsquo;t matter,when drinking,"english (fluently), german (fluently), spanish (fluently), italian (fluently), french (fluently)","i am 4000 lbs of steel, aluminum and leather. i am always a gentleman. people think because i am german that i have no sense of humor but on the inside, i am a lot of fun! i am well grounded and tend to keep my poise no matter what curves life throws at me. i am steady, trustworthy and reliable.","going places, doing my thing. seeing where life's paths take me...","cruising, playing old cassette tapes, chillin'.",my classically elegant yet sexy body lines...my quiet demeanor. my calm yet powerful manner.,'89 mercedes benz 420 sel manual cars christine the cars octane boost,gasoline oil coolant passengers air rubber,where to next??,"cruising the city, sunroof open, blasting the stereo...",sometimes i burnout...,you like to cruise. you like 80's music played on cassette tapes...
single,f,straight,average,strictly anything,socially,graduated from college/university,asian,65.0,-1,other,2012-04-02-23-07,"san francisco, california",doesn't have kids,likes dogs and likes cats,atheism,libra and it&rsquo;s fun to think about,no,english,"born and raised in northern california, just graduated from college and working at a start-up company in san francisco. looking for new friends, a partner in crime.","working, chillen",going with the flow and having a good time.,my baby blues.,"spicy food, funny movies","friends, family, food, 420, books, seinfeld",life,where the party is at,i can eat a half gallon of ice cream in one sitting easy.,"you like to watch baseball and like to get drunk while doing so. or if you have a beard, that's pretty cool too."
single,m,straight,average,anything,socially,graduated from college/university,black,74.0,-1,sales / marketing / biz dev,2012-01-27-18-35,"san francisco, california",doesn't have kids,likes dogs,other and very serious about it,cancer,yes,english,mmmmmm idk what to say so just ask me :),"leaving my fingerprints over work i'm proud of -- whether if it's working for a non-profit for cancer education (yeah, i was pre-med in my past life) or helping socially minded tech startups.","making my friends crack up, headstands, directions, being the life of the party, a confidant, simplifying complex ideas (but not simpler), puns, and making curry at home.",my hair.,are there really no surprises to be left in life?,"manga, black tie, laptop, someone funny, i'll comeback....",how to build better products to impact a billion people. life in general.,thinking about what to do on the next friday night,is that i didn't know how this whole okc thing worked and ended up with a silly username (didn't know that everyone liked travel. or sarcasm)!,you don't have anything else to do really.
single,f,bisexual,curvy,anything,socially,graduated from college/university,black,64.0,-1,education / academia,2012-06-29-12-51,"berkeley, california",doesn't want kids,has cats,other and laughing about it,aquarius and it&rsquo;s fun to think about,no,english,"i'm kind of a weirdo. i'm a writer, a critic, an artist, a trekkie, a feminist, a humanist, a good friend, a @nerd_slut on twitter, rangerbagel.com, and a california golden bear.  i also don't fuck around and have no time for jibba jabba. i also ain't got time for or interest in ""playing the game."" i'm a playa, but i don't play. i have a partner. don't ask me, ""if you don't want to date, why are you here?"" basically if you ask me that you're guaranteeing that i'm not even going to consider balling you. now, if you're a thoughtful sumbitch, you'll talk to me like i'm a thoughtful sumbitch about cool shit.  i speak jive. my mamma no raise no dummies.",i do work things that pay my billz. i also do work things for fantastic comics in berkeley that don't pay my billz. i also write lots of things that don't pay my billz. i also watch a lot of cartoons and star trek that don't pay my billz. ya dig?,"organizing. remembering stuff. writing stuff. being cool, blood.",awesome hair. that or my gesticulating.,"gonna do this jive shit later. a lot of people probably don't care because chumps gonna be like, ""hey baby, let's fuck,"" and then i'm gonna be like, ""shit, jack, you ain't got no play anyhow.""",the internet and five other things. i could probably never do without a ticket to ride. if someone gave me herpes i'd commit murder/suicide.,fighting,surprising myself.,i have a tattoo. it's an interrobang.,"you can spell, like star trek (comic books, nerdcetera), lit/film/art, and are funny.  i will ignore you if you're a moron. or ugly. i'm gonna be honest about that, yo. if you ugly, move along.  i'm pretty dubious about this. i used to be on okcupid for a long time and i got sick of the shit messages from craigslist douchebags wanting to put it in my butt.  edit: telling me that you're *not* a craigslist douchebag who wants to put it in my butt isn't original or very informative about you or your sense of humor. if you want to approach someone in order to spur their interest in you, you actually have to be original. also, just laugh at my joke. that's all i ever want from anyone: for them to laugh at my jokes."
single,m,straight,athletic,mostly anything,socially,graduated from college/university,asian,66.0,-1,other,2012-06-29-19-57,"oakland, california",doesn't have kids,has dogs and likes cats,other,virgo,no,"english (fluently), chinese (poorly)","i enjoy fun people, racing, cars ,motorcycles, biking, being active, and eating.","having fun, working, still looking for something better and trying to get my own business going.",entertaining myself.,i'm awesome...or that i eat a disgusting amount of food for someone averagely sized.,"i like most music, except country. i love chinese, japanese, and italian food.",1. people who keep me sane - obligatory shout out to my friends and fams 2. dance - it's what i do 3. nail polish - i like to stare at my nails all colorful and mesmerizing 4. cheese fries - my guiltiest pleasure food (especially if it has fake nacho cheese...so good) 5. stimulating conversation - i like to exercise my brain 6. chambray shirt - my go to clothing item,what to do tomorrow...and for the rest of my life. o_o,out drinking with friends or staying in and watching movies?,"i can burp...really loudly. ooooo, shit just got real.",you want to get to know me??
single,m,straight,fit,mostly anything,socially,graduated from college/university,asian,69.0,-1,sales / marketing / biz dev,2011-08-08-14-31,"berkeley, california","doesn't have kids, but wants them",has cats,buddhism,leo,no,"english, chinese","i am dot-com-er by day, student by night. when venus and mercury align, i am at home typing away and developing a serious case of carpel tunnel syndrome. tweeting is hard work, but someones gotta do it.  life's too short to do the same things over and over, so i try to mix it up. i go for long runs. catch up with friends over drinks. take road trips. fly away for beautiful sunsets. breathe deep in yoga class. hike the labyrinth of oakland hills trails. and drink countless tall lattes hunched over my computer. yes, the last one isn't sexy at all, but it's the truth.  don't reply to me if you don't intend to move beyond okcupid chat. you learn the most about people through time spent offline.. so.. let's catch a movie. grab a drink. take a jog. watch a show. take a cooking class. dance some salsa. walk your dog. try a new restaurant... you get it, right?  intp","i work, fiddle with web design, write and work out. every so often i go to happy hour with friends. sometimes i stay late at the office bullshitting with colleagues. and i'm learning to dance salsa.. 1, 2, 3.. 5, 6, 7..","my friends come to me for help on things like personal statements, cover letters and romantic love letters.  i'm also good at holding conversations, listening and laughing at life. a woman with a great sense of humor is a big turn on.",people say i look young to be doing what i'm doing--i get that one pretty often.,"books.. a ton of books. shows: archer, the daily show, mad money, shin chan listens to everything on 8tracks.com eats everything","the internet, running shoes, books, family, laughter & sleep.","how can we bring spirituality, folklore and mythology back into daily life?","running, walking, driving or flying somewhere.","i once gave a girl a box of chocolates. she told me i was sweet, funny and intelligent, but that she didn't want to see me again.  i'll try flowers next time.","only if you have secret romantic thoughts of one day doing something like this with someone you love. don't have to admit it aloud, but as long as they're there, somewhere in your heart."
single,m,straight,thin,mostly anything,often,graduated from college/university,asian,74.0,-1,sales / marketing / biz dev,2011-10-21-03-57,"south san francisco, california",doesn't want kids,likes cats,christianity but not too serious about it,taurus but it doesn&rsquo;t matter,yes,"english (fluently), spanish (fluently)","i'm an exceptionally tall, dark and handsome filipino who mistakenly let one of his female friends create an okcupid profile for him.",i work at sfo as a sales representative for pacific gateway concessions. i design websites on contract in my free time.,gettin' my groove down on the dance flo'. i've had my shufflin' moves complimented more than once. i also play jazz like a madman.,my height,"tv shows: how i met your mother, modern family, futurama, the simpsons, anime  music: anything but straight up country  food: hong kong style pan-fried noodles with american beef and broccoli. i know, really specific.",i don't ever want to find out what i could do without...,"music - listening to it and creating it. also sex, like every other red blooded 20-something male.","i work until 11 pm, so thursday is my friday ;)",i don't mind being nude in front of large crowds of people...skin=win,you're willing to run naked on the beach with me.
